lot_number,title,year,category,description,tags,status
0,1985 GMC jimmy,,Classics,,Impound,sold
0-A-Pr,Chevy corvairs,,Cars & sedans,,,sold
1,1983 F150,1983,Trucks & SUVs,,,sold
2,2005 Chevy Equinox,2005,Cars & sedans,,No key|Recon title,sold
3,2015 Nissan Altima,2015,Cars & sedans,,No key|No title|Impound,sold
4,1994 Honda Accord,1994,Cars & sedans,,No key|No title|Impound,sold
5,60kw Generator,,Equipment & machines,,Operational,sold
6,1968 Int. scout,1968,Classics,,No key|Rare,sold
7,Flatbed trailer,,Boats & trailers,,No title,sold
8,1991 Dodge Dakota,1991,Trucks & SUVs,,No key,sold
9,2010 Ford fusion,2010,Cars & sedans,,Drove in,sold
10,2002 Ford explorer,2002,Trucks & SUVs,,Drove in,sold
11,2006 Caddy escalade,2006,Trucks & SUVs,,Recon title|Drove in,sold
12,2012 Ford F-250,2012,Trucks & SUVs,,Drove in,sold
13,Dune buggy project,,Equipment & machines,,No key|No title,sold
14,2023 Enfield,2023,Motorcycles & ATVs,,Drove in,sold
15,2014 GMC Acadia,2014,Trucks & SUVs,,Drove in,sold
16,2006 Pont. G6,2006,Cars & sedans,,Drove in,sold
17,2015 Nissan versa,2015,Cars & sedans,,Drove in,sold
18,2017 Nissan Altima,2017,Cars & sedans,,Recon title|Drove in,sold
19,2001 Acura,2001,Cars & sedans,,Needs work,sold
20,2004 Expedition,2004,Trucks & SUVs,,No key|No title,sold
21,2008 Ford Eco van,2008,Trucks & SUVs,,Drove in,sold
22,2020 Chevy trax,2020,Trucks & SUVs,,Drove in,sold
23,2000 Jeep GC,2000,Trucks & SUVs,,Drove in,sold
24,2014 Ford Taurus,2014,Cars & sedans,,Drove in,sold
25,2011 Ford F-150,2011,Trucks & SUVs,,Drove in|Needs work,sold
26,1999 GMC Yukon,1999,Trucks & SUVs,,No key|Recon title|Drove in,sold
27,2013 Subaru outback,2013,Trucks & SUVs,,No title|Drove in,sold
28,2005 Pont. G.A,2005,Cars & sedans,,Drove in,sold
29,1966 INT. scout,1966,Classics,,No key,sold
30,2004 Lexus 300,2004,Cars & sedans,,Drove in,sold
31,2010 Jeep compass,2010,Trucks & SUVs,,Drove in,sold
32,2000 Subaru forester,2000,Trucks & SUVs,,Recon title|Drove in,sold
33,1975 17' AKZ boat,1975,Boats & trailers,,No key|No title,sold
34,1976 chateau R.V,1976,Boats & trailers,,,sold
35,2009 wildcat 5th wheel camper,2009,Boats & trailers,,No key|No title,sold
36,1993 Golf R.V,1993,Boats & trailers,,Drove in,sold
37,1979 Yukon Jet boat,1979,Boats & trailers,,No title,sold
38,2008 22' trailer,2008,Boats & trailers,,,sold
39,2000 Dodge caravan,2000,Trucks & SUVs,,Drove in,sold
40,1984 Audi Quattro,1984,Classics,,Drove in,sold
41,2007 Toyota van,2007,Trucks & SUVs,,Drove in,sold
42,2007 Chevy equinox,2007,Cars & sedans,,Drove in,sold
43,2005 Ford focus,2005,Cars & sedans,,Drove in,sold
44,2009 Mini cooper,2009,Cars & sedans,,Drove in,sold
45,2002 Ford escape,2002,Cars & sedans,,Drove in,sold
46,1996 Dodge 1500,1996,Trucks & SUVs,,Drove in,sold
47,1984 trailer,1984,Boats & trailers,,,sold
48,1977 Arctic Haze boat w/tr,1977,Boats & trailers,,No key,sold
49,2016 Dodge journey,2016,Trucks & SUVs,,Drove in,sold
50,2015 Dodge Ram 2500,2015,Trucks & SUVs,,Drove in,sold
